,track_id,artist_name,track_name,artist_genres,lyrics,track_loudness
22,50pDcb2T9GOCb90GXCJfa9,Esserpent,MANETTE,['rap tunisien'],"Fuck'em John, Fuck all

قبل ما تجينا وتبدا تتكلم، شد راس النهج وتعلم
من نفس الحومة نتكون، الحياة tableau وأنا لي نلون
أبيض كحلة حمرة دم، عندي خوات في قلبي تعيش
أما خسارة لمهم لكفن، شيختي تنسي في برشة ألم
بكيت بالصوت ديما مسموط، خدمت الكل وباقي مطلوب
بوليسية لتو تكابتي علي يقود يحبوا على الصوت
وری لبلاندي نحرك في السوق راب وشارع موجودين
عندي نینجا یا لطیف وباز بيهم عارفين
ماكينات عن-عن في l'autoroute عمل الزب
معایا خواتي شلة الغضب ديما تلقاني وسط الحضب
Fuck الـ haters

إنت عاقل وزید تحفون وتو تحلی وتزيد تستحلی وهذا كلو باز في المحلول
ماكينات وخدمة موزیکا تعطي في الزبده نتمی ندخل لجامع نتوفی ونقبل القبله
تحصرت وسط كببله ما تخاف عالرشمة معدلة
طرحي نجيبو sur ما دام الرجلة أسبابها مكبلة

ضبعي وخانات شارع صحاب موش فانات
عنا لمخاخ يفكوا مخاخ یا نلعب یا نفك الـ manette
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-8.373
23,2FBuZRrxDQ1NtBPtPGpptV,Ta9chira,Ma Nansech,['rap tunisien'],,-9.254
24,2QFdZ36F6eVEi3B1YaVKFC,A.L.A,Fekra w Energy,"['arabic hip hop', 'rap tunisien']",,-9.778
25,0GczHg7CnDS9L8oErghFsU,Stou,Air Bag,['rap tunisien'],,-13.041
26,1SdFr8eOdnikVziyoKwVxi,Kaso,Taw Njik,['rap tunisien'],,-4.162
27,3usGIerikVAo0v8f719Y9p,Ÿuma,Elli Fet,"['arab alternative', 'tunisian alternative', 'tunisian pop']","ماهوش ضلامي
هاذاك نورك إلي مات
نحسب في أيامي
و الوقت الخالف بحذاك

ماهوش كلامي
احسبها هدرة و وفات
هزت غرامي
عز لياليا إلي خدات

هيهات
يوم إلي نبرة من عشقك و هواك
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-9.514
28,3QJsUCM4OO9lCksy9WjEkB,Stou,METAMASK,['rap tunisien'],"1 ، 2 ، 3 ، 4 ، 5 ، 6 ، 7 ، 8 ، 9 ، 10 سايا
اوو نيك على زبي

منعرش كان بانت اما هانت
كيف تشوف ناس كانت
راب قانق
Concurence خلي بانت
Please don't panic
نحبك ديما ترد بالك
و انا لي نقتع صرام زادا نجي نبارك

حاشيهالك الي مركبهالك
بالي بش تقعد اللوطا
ديما بش نقعد نسالك
بالي بش تتلع عالكوتة
كيما انا هو فيبالك
بالك بالك كيما انا كان عطات
ديما فما طبقات و الطحانا تستقات
معانا كان رجال بقات
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-16.024
29,26p0MYvyRBJY11Aa3jlYfA,Ktyb,INTRO,"['rap tunisien', 'tunisian alternative']",,-7.815
30,26EzeGQ2SqKI69g0LYR6eB,Kaso,Mchew,['rap tunisien'],"خرجت للحومة ملقيت حد من اصحابي
لقيت الشارع فارغ و البوتو المشدود فاضي
ركشتنا المسمورة ملقيت فيها حد غادي
هزيت تليفوني ما هز حتى فرادي

فركست و سألت رميت على جار عنينة
لولاد شدو بحرهم ليالي و الڨمرة مبينة
حجة قتلي خلي يمشي وليدي لنا مڨينة
حتى يضمن روحو بش يكبر و يضمن عيلة
C'est bon
شلة مشاو مشاو مشاو
في بلادهم شسواو شسواو شسواو
ملوا ملي مال مالمعاودة
ماشين و عارفين الي غادي مش أمان
ماشين و فاهمين الي خرج تنسا
كثرت العينين كيف هنا ترمى

خير كيمشي بعيد خير كيقولو بعيد ترمى
امو فرحت بيه مالفرحة رمات وراه الماء
لولاد خرجو حوم تلمو باندة باندة
الام فيبالها يشلو طمعة في باندة و ماندة
لقاو ما تبدل شيء كان البيضة ببانتا

الحلمة يروحو بقش ملي كانت بونتو و باندا
تحركو لوجو ثنية لقاو ما فما ثنية تهز
لقاو نجوم في سماهم كيف تسكرت حد ما يدز
حسو وقفت بيهم وقفو على بيران يمز
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-6.923
31,26EzeGQ2SqKI69g0LYR6eB,Kaso,Mchew,['rap tunisien'],"خرجت للحومة ملقيت حد من اصحابي
لقيت الشارع فارغ و البوتو المشدود فاضي
ركشتنا المسمورة ملقيت فيها حد غادي
هزيت تليفوني ما هز حتى فرادي

فركست و سألت رميت على جار عنينة
لولاد شدو بحرهم ليالي و الڨمرة مبينة
حجة قتلي خلي يمشي وليدي لنا مڨينة
حتى يضمن روحو بش يكبر و يضمن عيلة
C'est bon
شلة مشاو مشاو مشاو
في بلادهم شسواو شسواو شسواو
ملوا ملي مال مالمعاودة
ماشين و عارفين الي غادي مش أمان
ماشين و فاهمين الي خرج تنسا
كثرت العينين كيف هنا ترمى

خير كيمشي بعيد خير كيقولو بعيد ترمى
امو فرحت بيه مالفرحة رمات وراه الماء
لولاد خرجو حوم تلمو باندة باندة
الام فيبالها يشلو طمعة في باندة و ماندة
لقاو ما تبدل شيء كان البيضة ببانتا

الحلمة يروحو بقش ملي كانت بونتو و باندا
تحركو لوجو ثنية لقاو ما فما ثنية تهز
لقاو نجوم في سماهم كيف تسكرت حد ما يدز
حسو وقفت بيهم وقفو على بيران يمز
...

******* This Lyrics is NOT for Commercial use *******
(1409624107667)",-6.923
